guest_team,probability,total_games,reliability,confidence
AEK Athens,0.6,5,Low,0.4294144850840502
AEK Larnaca,0.4,5,Low,0.4294144850840502
ASA,0.2857142857142857,7,Low,0.3346640106136302
Ada Blois,0.6666666666666666,6,Low,0.3772021758705555
Adelaide,0.4,5,Low,0.4294144850840502
Aix Maurienne,0.6666666666666666,6,Low,0.3772021758705555
Alba Berlin,0.3333333333333333,9,Low,0.3079842869168074
Alba Fehervar,0.25,8,Low,0.3000624934909393
Alkar,0.6,5,Low,0.4294144850840502
Alytaus Alytus,0.625,8,Low,0.33548006647191425
Anadolu Efes,0.7,10,Low,0.284030984225313
Ankara Kolejliler,0.7142857142857143,7,Low,0.3346640106136302
Anorthosis,0.6666666666666666,6,Low,0.3772021758705555
Antibes,0.7142857142857143,7,Low,0.3346640106136302
Antwerp Giants,0.4444444444444444,9,Low,0.32464394339996944
Anwil Wloclawek,0.375,8,Low,0.33548006647191425
Anyang JungKwanJang,0.8333333333333334,6,Low,0.2982045035305904
Arges Pitesti,0.75,8,Low,0.3000624934909393
Aris,0.2857142857142857,7,Low,0.3346640106136302
Artland,0.6,5,Low,0.4294144850840502
Assigeco Piacenza,1.0,7,Very High,0.0
Astana,0.5,8,Low,0.3464823227814083
Atomeromu Paks,0.4,5,Low,0.4294144850840502
Avellino Basket,0.4,5,Low,0.4294144850840502
BAL Weert,0.5714285714285714,7,Low,0.3666060555964672
BC Dnipro,0.6,5,Low,0.4294144850840502
BC Kalev/Cramo,0.7142857142857143,7,Low,0.3346640106136302
BC Komarno,0.2,5,Low,0.3506154588719671
BC Nokia,0.8333333333333334,6,Low,0.2982045035305904
BC Olimpas Palanga,0.14285714285714285,7,Low,0.25922962793631443
BC Prievidza,0.5,8,Low,0.3464823227814083
BC Steaua Bucuresti,0.4,5,Low,0.4294144850840502
BC Wolves,0.8888888888888888,9,Low,0.20532285794453828
BK Liepaja,0.4,5,Low,0.4294144850840502
BK Ogre,0.5,6,Low,0.40008332465458574
BK Zaporozhye,1.0,5,Very High,0.0
BKM Lucenec,0.4,5,Low,0.4294144850840502
Bahcesehir Kol.,0.8333333333333334,6,Low,0.2982045035305904
Balikesir,0.3333333333333333,6,Low,0.3772021758705555
Balkan,0.42857142857142855,7,Low,0.3666060555964672
Barcelona,0.8,5,Low,0.350615458871967
Barnaul,0.42857142857142855,7,Low,0.3666060555964672
Bars Rostov,0.5,8,Low,0.3464823227814083
Basket Torino,0.5,6,Low,0.40008332465458574
Basketball Braunschweig,0.6666666666666666,6,Low,0.3772021758705555
Baskonia,0.8,5,Low,0.350615458871967
Bayern,0.4,10,Low,0.3036418943426615
Bayreuth,0.5,6,Low,0.40008332465458574
Belfius Mons,0.6,5,Low,0.4294144850840502
Benfica,0.3333333333333333,6,Low,0.3772021758705555
Beroe,0.8,5,Low,0.350615458871967
Besiktas,0.5,6,Low,0.40008332465458574
Bisons Loimaa,0.4,5,Low,0.4294144850840502
Boca Juniors,0.5,6,Low,0.40008332465458574
Bochum,0.42857142857142855,7,Low,0.3666060555964672
Bonn,0.8333333333333334,6,Low,0.2982045035305904
Borac,0.6,5,Low,0.4294144850840502
Bordo Sportif,0.3333333333333333,6,Low,0.3772021758705555
Boulazac,0.42857142857142855,7,Low,0.3666060555964672
Bremerhaven,0.7142857142857143,7,Low,0.3346640106136302
Brescia,0.6,5,Low,0.4294144850840502
Brindisi,0.3333333333333333,6,Low,0.3772021758705555
Brisbane Bullets,0.2,5,Low,0.3506154588719671
