league,probability,total_games,reliability,confidence
aba,0.6708860759493671,158,High,0.07326980663039317
aba 2,0.6724137931034483,58,Medium,0.12078783165002181
arj,0.5641025641025641,156,High,0.07781529464864592
aus,0.46511627906976744,86,Medium,0.10541861497148976
avst,0.6896551724137931,116,High,0.08419093474827431
bnxt,0.54,200,High,0.0690743599318879
bos,0.6774193548387096,62,Medium,0.11636119699549631
bre,0.5,88,Medium,0.10446835101424912
bul,0.46153846153846156,52,Medium,0.13549887593653212
cek,0.6,150,High,0.0784
champions,0.5294117647058824,68,Medium,0.11863666831034729
cin,0.625,16,Low,0.23722022995520428
cro,0.5619047619047619,105,High,0.09490236698449234
eng,0.5,32,Low,0.17324116139070414
eurocup,0.6025641025641025,156,High,0.07679429280886892
eurolig,0.5333333333333333,180,High,0.07288238453363502
fiba,0.5436241610738255,298,High,0.05655338916502818
fiba euro,0.6176470588235294,68,Medium,0.11550586092488634
fin,0.5967741935483871,124,High,0.0863424575308979
fra,0.49295774647887325,142,High,0.0822316156193181
fra b,0.48031496062992124,254,High,0.06144299505901275
friendly,0.5894736842105263,190,High,0.06994907609703636
ger,0.47297297297297297,148,High,0.08043773251229144
ger b,0.5154639175257731,194,High,0.07032624078183398
greek,0.5365853658536586,82,Medium,0.10793279642840588
isr,0.25,16,Low,0.21217622392718746
ita,0.53125,128,High,0.08645123433455852
ita b,0.5254237288135594,236,High,0.06371004631768483
kore,0.7457627118644068,118,High,0.07856606895906
kore w,0.7777777777777778,36,Medium,0.13580830514957268
kıbrıs,0.5263157894736842,38,Low,0.1587566502700186
lat cup,0.5,12,Low,0.2829016319029166
lat lkl,0.5684210526315789,95,High,0.09960003056400671
lat nkl,0.49767441860465117,215,High,0.06683472232806595
lat-st,0.5068493150684932,146,High,0.08109776691392472
mac,0.5478260869565217,115,High,0.0909664522694006
mak,0.4057971014492754,69,Medium,0.11586529702014432
pol,0.5517241379310345,116,High,0.09050253546810295
por,0.4,60,Medium,0.12396128427860045
por b,0.6,105,High,0.09370592297181646
rom,0.5172413793103449,145,High,0.08133617027007298
rus,0.49295774647887325,142,High,0.0822316156193181
rus cup,0.5714285714285714,28,Low,0.1833030277982336
slovak,0.5384615384615384,104,High,0.09581217401787656
sloven,0.6075949367088608,79,Medium,0.10767550072010362
spa,0.2222222222222222,18,Low,0.19206194702542953
swit,0.40625,64,Medium,0.12032741384837248
sır,0.5,88,Medium,0.10446835101424912
sırbistan,0.7333333333333333,15,Low,0.2237924964816325
taiwan tpbl,0.7272727272727273,22,Low,0.1861048394580915
tur,0.5,112,High,0.09260129588726067
tur b,0.4392523364485981,214,High,0.06649514863994287
ukr,0.6785714285714286,56,Medium,0.12232129822725067
vietnam,0.42857142857142855,14,Low,0.2592296279363144
vtb,0.5568181818181818,176,High,0.07339177795229687
w nba,0.5555555555555556,54,Medium,0.13253533490248462
